Number,StreetAddress,City,State,StateFull,TelephoneNumber,TropicalZodiac,CCNumber,FulColor,Occupation,Company,Centimeters,Kilograms
968,1397 Victoria Court,York,ME,Maine,207-363-7789,Gemini,4485319435529318,white,Optical mechanic,Parklane Hosiery,165,77.1
969,3018 Wilmar Farm Road,Pikesville,MD,Maryland,240-345-3268,Scorpio,4539461385814344,dark skinned,Conference interpreter,ABCO Foods,159,74.8
970,449 Agriculture Lane,Miami,FL,Florida,305-269-0438,Pisces,5.51691E+15,black,Administrative leader,John Plain,156,78.6
971,4287 Clarksburg Park Road,Whiteriver,AZ,Arizona,928-338-8570,Taurus,4485871331667642,dark skinned,Loan authorizer,PriceRite Warehouse Club,165,73.1
972,2503 Sherwood Circle,Leesville,LA,Louisiana,337-286-0570,Taurus,5597705839565951,dark skinned,Osteopathic physician,Play Town,150,76.9
973,1623 Apple Lane,Peoria,IL,Illinois,309-206-3276,Pisces,4.55678E+15,black,Interior decorator,Plan Smart Partner,162,73.3
974,2369 Cecil Street,Westchester,IL,Illinois,312-290-4625,Aries,5394580498304678,white,Compensation manager,Strategic Profit,154,56
975,3296 Highland View Drive,Roseville,CA,California,916-670-5464,Capricorn,5188675231241367,black,Service unit operator,Perisolution,180,89.6
976,4869 Hawks Nest Lane,Saint Louis,MO,Missouri,314-763-8561,Virgo,5318227965789204,black,Patient educator,Food Giant,175,65.9
977,4362 Camden Place,Charleston,SC,South Carolina,843-882-8876,Pisces,5259922652021801,black,Asset property manager,Rickel,165,84
978,738 Briarhill Lane,Brunswick,OH,Ohio,330-220-6672,Pisces,4485321873272575,dark skinned,Bricklayer,Rickel,172,61.1
979,2069 Neuport Lane,Dunwoody,GA,Georgia,770-396-6952,Sagittarius,4485519408261951,white,Telephone station repairer,Enviro Architectural Designs,166,86.3
980,2434 Archwood Avenue,Mountain View,WY,Wyoming,307-741-2421,Sagittarius,5431812308940945,black,Colorist,Helios Air,179,98.6
981,4254 Todds Lane,San Antonio,TX,Texas,210-562-1065,Gemini,5270511925560482,black,Orthotist,Integra Investment Service,151,75.2
982,2248 Goff Avenue,Three Rivers,MI,Michigan,269-689-5384,Capricorn,5188559061457824,black,Oceanographer,Corpbay,166,68.5
983,2125 Wilkinson Court,Fort Myers,FL,Florida,239-491-7176,Cancer,5319109810928337,black,Airframe mechanic,Madcats Music & Books,172,72
984,2010 Woodhill Avenue,Elkridge,MD,Maryland,410-796-0410,Scorpio,5474125284807022,dark skinned,Private household cook,TheBottomHalf,156,55.7
985,2621 Scenicview Drive,Midland,TX,Texas,432-288-0401,Aries,5296554779723954,black,Biological scientist,John F. Lawhon,157,90.4
986,3336 Five Points,Baltimore,MD,Maryland,443-317-6574,Gemini,5293573298296733,white,Media planner,Super Shops,152,93
987,1646 Ryder Avenue,Silver Lake (Snohomish),WA,Washington,425-337-7507,Gemini,4539435982452039,white,Older worker specialist,Consumers and Consumers Express,167,56.7
988,3998 Retreat Avenue,Birmingham,AL,Alabama,205-304-6589,Taurus,4716319377155859,black,Research psychologist,Leonard Krower & Sons,162,84.7
989,1420 Perry Street,New Lothrop,MI,Michigan,810-638-0435,Cancer,5157150738636169,black,Barber,Casual Corner,177,66.7
990,2171 Wakefield Street,King Of Prussia,PA,Pennsylvania,215-394-3140,Scorpio,5170493111325924,white,Medical assistant,Brooks Fashions,162,53.9
991,2080 Saint James Drive,Lancaster,PA,Pennsylvania,717-437-3496,Taurus,4556983112335366,dark skinned,Surgical technician,Lafayette Radio,157,65
992,2878 Argonne Street,New Castle,DE,Delaware,302-323-2012,Sagittarius,5293264832697053,dark skinned,Human resources analyst,Bombay Company,164,65.8
993,3798 Layman Avenue,Fayetteville,NC,North Carolina,910-916-3238,Leo,4556555727312483,black,Research dietitian,Our Own Hardware,153,74.9
994,4469 Duff Avenue,Brattleboro,VT,Vermont,802-515-9543,Capricorn,4929316796340859,white,Technical trainer,Pantry Food Stores,183,76.6
995,593 Glen Falls Road,Philadelphia,PA,Pennsylvania,215-831-8634,Libra,5134526736785405,dark skinned,Order filler,Gold Medal,154,101.4
996,2458 Mcwhorter Road,Greenwood,MS,Mississippi,662-459-2336,Pisces,5502043380104499,black,Animal breeder,Suncoast Video,174,53.6
997,4760 Elk Avenue,Sand Creek,MI,Michigan,517-436-7342,Leo,5520494481624471,dark skinned,Banquet manager,World Radio,150,63.4
998,3098 Nancy Street,Raleigh,NC,North Carolina,919-555-4085,Gemini,5464405679062587,white,Medical technician,Pro Property Maintenance,170,74.2
999,3350 Vernon Street,Oceanside,CA,California,760-721-0724,Capricorn,4929506613591508,black,Drilling and boring machine tool setter,Brilliant Home Designs,175,97.5
1000,3544 Parrish Avenue,Salinas,CA,California,831-237-1681,Aquarius,4532715533946317,black,Mechanical door repairer,Fragrant Flower Lawn Services,175,106.2
1001,54 Flinderation Road,Harvey,IL,Illinois,708-333-3144,Taurus,5155401439581259,dark skinned,Nursing assistant,Standard Sales,168,90.1
1002,1797 Dye Street,Tempe,AZ,Arizona,480-678-9303,Scorpio,4539825775885611,white,Medical laboratory technologist,Avant Garde Appraisal,172,93.7
1003,4950 Mcwhorter Road,Jackson,MS,Mississippi,662-479-7928,Libra,4539908021783663,white,Museum director,Colonial Stores,166,72.2
1004,660 Candlelight Drive,Deer Park,TX,Texas,281-479-7712,Virgo,5145799203403219,black,Electronic drafter,Integra Investment Service,175,92.7
1005,1105 Villa Drive,South Bend,IN,Indiana,574-297-7232,Virgo,4916097946879047,white,Posting clerk,Magik Lamp,183,70.7
1006,2106 Central Avenue,Union City,NJ,New Jersey,201-319-7369,Capricorn,5558976316630918,black,Palliative care nurse,Miller & Rhoads,162,67.1
1007,313 Tree Frog Lane,Kansas City,MO,Missouri,816-456-6711,Taurus,5116903583424325,dark skinned,Reactor operator,Crafts Canada,174,82.6
1008,4005 Morgan Street,Pensacola,FL,Florida,850-506-6314,Gemini,4532511325970957,white,Journeymen lineman,Luria's,156,59.7
1009,4270 Whitman Court,Wallingford,CT,Connecticut,203-565-0608,Scorpio,5226345303043075,black,Esthetician,Hughes Markets,176,92.4
1010,2617 Pin Oak Drive,Muscatine,IA,Iowa,563-299-2988,Aquarius,4539984938119911,black,Military occupation,Gottschalks,174,73.4
1011,2108 Davisson Street,Indianapolis,IN,Indiana,765-815-4004,Virgo,4.53901E+15,black,Plant custodian,Laughner's Cafeteria,169,69.3
1012,2461 West Fork Drive,Deerfield Beach,FL,Florida,954-481-1892,Aries,5271333218686844,black,Marketing manager,Showbiz Pizza Place,162,96.7
1013,4853 Shobe Lane,Denver,CO,Colorado,970-433-5285,Libra,5148577627364408,dark skinned,Interior decorator,Magik Gray,161,88.7
1014,908 Tuna Street,Canton,MI,Michigan,810-886-5589,Gemini,4.92967E+15,black,Forging machine tender,Wells & Wade,181,109.4
1015,4188 Heavner Avenue,Marietta,GA,Georgia,770-763-0080,Libra,4916021515268465,white,Motor coach driver,Desert Garden Help,161,88.1
1016,1308 Fincham Road,San Diego,CA,California,760-496-6455,Scorpio,5537606885817804,black,Family child care provider,,170,102.3
1017,1880 Heritage Road,Fresno,CA,California,559-743-8142,Aquarius,4916263796148509,black,Bench carpenter,Dick Fischers,169,100.2
1018,2589 Prospect Street,Camden,NJ,New Jersey,856-674-0859,Gemini,5466154088303103,dark skinned,Sales engineer,Builders Square,186,98.4
1019,591 Linden Avenue,Winter Park,FL,Florida,407-622-2392,Leo,5.44398E+15,black,Data processor,Larry's Markets,156,75.8
1020,886 Hilltop Haven Drive,Newark,NJ,New Jersey,973-836-4313,Taurus,4716900095705776,dark skinned,Lifeguard,Bumper to Bumper Auto Parts,181,87.3
1021,4327 Fowler Avenue,Chamblee,GA,Georgia,770-220-1454,Capricorn,5278575095815291,black,Blockmason,Handy Andy,177,58.1
1022,3106 Pinnickinnick Street,Newark,NJ,New Jersey,732-824-5874,Cancer,5515874512584355,white,Fire investigator,Affinity Investment Group,178,105.4
1023,2008 Hiney Road,Las Vegas,NV,Nevada,702-231-8587,Scorpio,4929358848727451,white,Marketing research analyst,Earl Abel's,166,100.5
1024,890 Oak Way,Lincoln,NE,Nebraska,402-476-3454,Gemini,5563822541898164,dark skinned,Cable splicer,A+ Electronics,163,92.1
1025,3737 Woodside Circle,Fort Walton Beach,FL,Florida,850-687-8902,Cancer,5336528160026708,black,PBX installer,Asian Plan,172,70.1
1026,1436 Bastin Drive,Philadelphia,PA,Pennsylvania,484-768-5541,Taurus,4.53945E+15,black,Development specialist,Red Robin Stores,188,73.5
1027,584 Griffin Street,Phoenix,AZ,Arizona,602-288-2803,Scorpio,5253915601684907,dark skinned,Geological technician,Giant,185,104.8
1028,4253 Breezewood Court,Argonia,KS,Kansas,620-435-5117,Aries,5142269284375093,black,Information technology trainer,National Hardgoods Distributors,170,66.8
1029,3854 George Avenue,Mobile,AL,Alabama,251-221-4896,Pisces,4.91601E+15,dark skinned,Arborist,Prahject Planner,161,54.4
1030,4899 Franklee Lane,Eagleville,PA,Pennsylvania,484-542-7628,Capricorn,5527889032940727,black,Hunter,King Carol,171,96.4
1031,1626 Bubby Drive,Smithville,TX,Texas,512-360-0616,Scorpio,4485890520878562,black,Card punching machine operator,Service Merchandise,185,99.9
1032,2007 Farm Meadow Drive,Lake Havasu City,AZ,Arizona,928-855-4420,Gemini,4532421597870002,dark skinned,Sales agent,Happy Bear Investment,171,61.8
1033,1048 Sussex Court,Waco,TX,Texas,254-399-4942,Pisces,5.10665E+15,white,Activity specialist,Bumper to Bumper Auto Parts,170,76.8
1034,448 Weekley Street,San Antonio,TX,Texas,210-367-8410,Capricorn,5178495809862961,black,"Cleaning, washing, and metal pickling equipment operator",Vitamax Health Food Center,164,82.1
1035,1253 Blue Spruce Lane,Baltimore,MD,Maryland,410-325-0383,Capricorn,5315175447733907,white,Pulmonary function technologist,Payless Cashways,160,84.4
1036,1569 George Avenue,Mobile,AL,Alabama,251-221-0851,Libra,5394754993297204,black,Clinical dietitian,Kinney Shoes,160,57
1037,1767 Libby Street,Mira Loma,CA,California,310-272-4357,Aries,5.28173E+15,dark skinned,Bookkeeping clerk,Hughes Markets,168,70.1
1038,1225 Norma Lane,Shreveport,LA,Louisiana,318-490-3031,Sagittarius,5515902313530465,dark skinned,Counter clerk,Netcore,166,51.4
1039,4724 Skips Lane,Phoenix,AZ,Arizona,928-447-2534,Pisces,5409110552983317,black,Ophthalmologic sonographer,Copeland Sports,170,70.1
1040,3169 Jefferson Street,Newport News,VA,Virginia,757-736-1283,Pisces,4556366961327595,dark skinned,Resort desk clerk,Monk Real Estate Service,178,97
1041,1471 Pine Street,Sharon,PA,Pennsylvania,724-346-4317,Cancer,4.71631E+15,white,Dental assistant,Big Apple,173,73.7
1042,4339 Emily Renzelli Boulevard,Monterey,CA,California,831-649-2506,Cancer,5440272884641004,black,Direct care worker,Life Map Planners,174,96.5
1043,34 Reppert Coal Road,Bloomfield Township,MI,Michigan,586-994-0126,Gemini,4.5323E+15,black,Stereotyper,Mervyn's,172,97.2
1044,2902 Moonlight Drive,Camden,NJ,New Jersey,609-662-6497,Cancer,5261659392580193,dark skinned,Family therapist,Foreman & Clark,163,60
1045,3477 Eastland Avenue,Natchez,MS,Mississippi,601-446-9743,Cancer,4929622209903914,black,Benefits director,Ruehl No. 925,165,54.4
1046,396 Flinderation Road,Hickory Hills,IL,Illinois,708-305-0477,Libra,4929655893849696,black,Public health social worker,Choices,188,98.2
1047,4496 Freed Drive,Stockton,CA,California,209-653-8258,Leo,5254235476556802,dark skinned,LAN administrator,Sportmart,183,110.1
1048,3997 Wilson Street,Palm Springs,CA,California,760-969-7148,Aquarius,4716005747447494,black,Electronics repairer,Argus Tapes & Records,166,97.8
1049,2248 Elliott Street,Derry,NH,New Hampshire,603-531-2389,Virgo,5238476390738321,white,Technical sales manager,Personal & Corporate Design,170,53.9
1050,893 Wood Street,Grayling,MI,Michigan,989-217-6240,Scorpio,5100914088689161,black,Medical appliance technician,Wealth Zone Group,185,85.9
1051,3397 Spring Avenue,Philadelphia,PA,Pennsylvania,267-569-6230,Aries,4716250084152311,dark skinned,Research chef,Weathervane,182,90.4
1052,4139 Oak Lane,Fairfax,MO,Missouri,660-686-8004,Capricorn,4532880537684213,white,Media outreach specialist,Muirhead's,159,100.8
1053,1146 Holt Street,Doral,FL,Florida,561-390-3056,Gemini,5132976075664855,white,"Molding, coremaking, and casting machine operator",Beatties,178,64.6
1054,2943 Angus Road,New York,NY,New York,212-403-2087,Pisces,5295783162655843,black,Pharmacy technician,John M. Smyth's Homemakers,158,55.3
1055,149 Trymore Road,Sherburn,MN,Minnesota,507-764-7467,Virgo,4539506127695714,dark skinned,Welding machine operator,Realty Depot,175,75.9
1056,3768 Hedge Street,Hackettstown,NJ,New Jersey,908-684-1541,Cancer,4556008343012202,black,Monetary economist,Suncoast Video,168,99.2
1057,3106 Redbud Drive,Rego Park Queens,NY,New York,347-665-8820,Cancer,4716683284568557,black,Laundry and dry-cleaning worker,Robinson Furniture,169,55.1
1058,3741 Rivendell Drive,Hartville,OH,Ohio,330-877-8606,Pisces,4929581677975046,dark skinned,Biomedical equipment technician,Solution Bridge,169,76.2
1059,1405 Lucky Duck Drive,West View,PA,Pennsylvania,412-931-1941,Sagittarius,5110951564489003,black,Prosthetist,Ulbrich's,157,50.1
1060,1465 College Avenue,Dayton,OH,Ohio,937-371-1328,Virgo,4532957832107007,white,Packaging and filling machine tender,Northern Reflections,153,98.8
1061,1761 Oak Drive,Albany,NY,New York,518-571-1558,Sagittarius,4485140825390081,black,Asbestos abatement worker,Prahject Planner,169,88.1
1062,2841 Spirit Drive,Orange City,FL,Florida,386-775-4552,Scorpio,4916957514113089,black,Dispatcher,Good Times,157,96.2
1063,1040 Aviation Way,Los Angeles,CA,California,213-984-5494,Capricorn,5249484433288293,black,Hanger,Monsource,183,66.5
1064,353 Frosty Lane,Oneonta,NY,New York,607-643-5731,Aries,4539630754202659,dark skinned,Jeweler,Midwest TV & Appliance,171,112.2
1065,3496 Wilson Avenue,Richardson,TX,Texas,972-505-5600,Gemini,4556274974768922,black,Training assistant,DGS HomeSource,169,76
1066,1081 Sunset Drive,Black Fish Lake,AR,Arkansas,870-657-9398,Taurus,5530079733117107,white,Judge,Integra Investment Service,155,71
1067,4602 Clement Street,Atlanta,GA,Georgia,404-476-6777,Aries,5532414553142034,black,Food technologist,Vibrant Man,170,64.9
1068,2470 Hartway Street,Burke,SD,South Dakota,605-775-5040,Pisces,5517311939927501,black,Studio camera operator,Incluesiv,178,67.8
1069,4454 Graystone Lakes,Macon,GA,Georgia,478-636-6154,Capricorn,5460800942383287,dark skinned,Materials scientist,ManCharm,169,57.2
1070,71 Benedum Drive,Denton,NY,New York,845-374-3414,Leo,4532460332554927,white,Punch card operator,Stop N Shop,159,100
1071,552 Glenview Drive,Pawnee,TX,Texas,361-456-6281,Scorpio,5484188735324847,dark skinned,Athletic trainer,The Original House of Pies,168,81.3
1072,1765 Vine Street,Skokie,IL,Illinois,847-673-7537,Taurus,4485833368908026,white,Assistant principal,University Stereo,181,90.3
1073,3462 Horizon Circle,Seattle,WA,Washington,253-617-0912,Libra,5504659385723492,black,Musician,Sears Homelife,172,94.9
1074,496 Settlers Lane,Whitestone,NY,New York,917-757-3384,Scorpio,5483621661763282,black,Ship officer,Balanced Fortune,158,92.4
1075,4201 Bates Brothers Road,Columbus,OH,Ohio,614-261-2075,Taurus,4916036469352024,white,Log sorter,Enviro Architectural Designs,167,100.7
1076,1654 Linda Street,Philadelphia,PA,Pennsylvania,267-765-6833,Aries,4929658891371572,dark skinned,Food processing occupation,Wise Solutions,157,68.5
1077,2257 Eagle Lane,Tower,MN,Minnesota,218-753-8075,Pisces,5.3174E+15,dark skinned,"Carpet, floor, and tile finisher",Giant,169,85.3
1078,3066 Coulter Lane,Sandston,VA,Virginia,804-328-6279,Scorpio,5515418385305561,black,Pediatric dentist,Team Uno,170,112.1
1079,480 Tibbs Avenue,Cooke City,MT,Montana,406-838-0657,Aquarius,5266674124332289,black,Computer forensic investigator,Brooks Fashions,188,104.3
1080,2260 Haul Road,Maplewood,MN,Minnesota,651-264-6221,Capricorn,4916974707777364,black,Training and development specialist,Schucks Auto Supply,171,72.8
1081,695 Washington Avenue,Jackson,MS,Mississippi,601-926-0503,Libra,4916551747892377,black,Urban planner,Fragrant Flower Lawn Services,184,56.5
1082,4958 Pringle Drive,Chicago,IL,Illinois,312-380-2664,Aquarius,5.24313E+15,dark skinned,Concrete finisher,Ulbrich's,175,84
1083,947 Jones Avenue,Welcome,NC,North Carolina,336-731-5934,Virgo,4556764446549751,black,Safety engineer,Sunny Real Estate Investments,180,103.4
1084,4302 Lake Forest Drive,Parker,KS,Kansas,913-898-7661,Aries,5299230606461368,white,Stock clerk,Endicott Johnson,158,66.4
1085,277 Fort Street,Seattle,WA,Washington,253-246-5604,Sagittarius,5194864109273692,white,Surgeon,Price's Electronics,160,93.7
1086,3175 Tenmile Road,Boston,MA,Massachusetts,781-730-7829,Cancer,5495142169966554,black,Forest fire prevention specialist,Team Designers and Associates,186,79.7
1087,596 Eagle Drive,New Boston,MI,Michigan,734-753-8916,Capricorn,4.48502E+15,black,Instructional designer,Bodega Club,183,88.3
1088,51 Goff Avenue,Grand Rapids,MI,Michigan,269-533-5125,Virgo,4532312342730684,white,Family therapist,Infinite Wealth,183,67.3
1089,4527 South Street,Charlottesville,VA,Virginia,434-208-1494,Pisces,5499861953725225,black,Deputy marshal,Mode O'Day,151,48.2
1090,2181 Juniper Drive,Bay City,MI,Michigan,989-894-3207,Scorpio,4485676796151457,black,Electrocardiograph (EKG) technician,Monk Home Improvements,162,66.6
1091,1274 Peck Court,San Juan Capistrano,CA,California,949-488-5469,Pisces,4532149093267437,dark skinned,"Compensation, benefits, and job analysis specialist",Steinberg's,174,61.8
1092,1901 Shadowmar Drive,New Orleans,LA,Louisiana,504-941-7471,Sagittarius,5294695270864433,dark skinned,Personal and home care aide,Northern Star,168,83.2
1093,4336 Mahlon Street,Wayne,NJ,New Jersey,732-910-7987,Taurus,4.71653E+15,black,Home health aide,Rogersound Labs,164,87.6
1094,2508 Mount Olive Road,Atlanta,GA,Georgia,678-967-7332,Aries,5488802065389362,black,Printmaker,Spaceage Stereo,164,89.7
1095,721 Black Oak Hollow Road,Sunnyvale,CA,California,408-720-5422,Scorpio,4485861554814542,black,Dog trainer,Fireball,153,56.1
1096,2919 Desert Broom Court,Rochelle Park,NJ,New Jersey,201-738-1865,Leo,5250341237613926,white,Zookeeper,Piece Goods Fabric,170,68.9
1097,3663 Mapleview Drive,St Petersburg,FL,Florida,727-864-3214,Pisces,4929151129969441,dark skinned,Commission clerk,Music Den,190,83.4
1098,2176 Caynor Circle,Rochelle Park,NJ,New Jersey,908-500-1448,Aquarius,5324628167059746,black,Ergonomist,Komerci,162,95.9
1099,4252 Wyatt Street,West Palm Beach,FL,Florida,561-493-6167,Gemini,5100055534188208,black,Kennel attendant,Strategy Planner,161,90.8
1100,401 Poe Lane,Shawnee,KS,Kansas,913-641-7784,Taurus,5412950609004459,black,Computer-controlled machine tool operator,Two Pesos,180,108.5
1101,1992 Calvin Street,Baltimore,MD,Maryland,443-376-8856,Scorpio,5286589869694964,black,Marketing manager,Great Western,172,91
1102,4405 Logan Lane,Lakewood,CO,Colorado,303-236-7162,Leo,5285198504620151,black,Loan closer,Rogers Peet,183,68.5
1103,2290 Goldcliff Circle,Washington,DC,Washington DC,202-537-1278,Scorpio,5499032168691475,black,Scaler,Avant Garde Appraisal Group,172,53.5
1104,105 Marietta Street,Santa Rosa,CA,California,707-535-9219,Pisces,5.51874E+15,black,Farm and home management advisor,Kent's,156,59.2
1105,3622 Thompson Street,La Habra,CA,California,562-694-2784,Gemini,5503893712364701,black,Library media specialist,Parade of Shoes,165,62.1
1106,266 Kelly Drive,Wheeling,WV,West Virginia,304-909-9547,Taurus,5103023291725767,dark skinned,Vice president,Metro,175,84.8
1107,884 Lauren Drive,Warrens,WI,Wisconsin,608-378-4486,Capricorn,4556131617659647,black,Circulation assistant,Monk Real Estate Service,167,68.6
1108,3365 Primrose Lane,Cobb,WI,Wisconsin,608-623-8597,Capricorn,4485534223173869,black,"Crushing, grinding, and polishing machine operator",Virgin Megastores,168,55.1
1109,636 Hott Street,Oklahoma City,OK,Oklahoma,405-601-5464,Leo,5329923056500305,white,Border Patrol agent,Morville,182,112.1
1110,2530 Fraggle Drive,Wood Dale,IL,Illinois,630-371-9711,Cancer,5122188344466896,white,Travel clerk,House Of Denmark,165,82.2
1111,2247 Farnum Road,New York,NY,New York,212-363-9885,Aquarius,4556626424887489,black,"Forest, conservation, and logging worker",System Star,186,64.9
1112,1414 Tavern Place,Denver,CO,Colorado,303-997-7347,Taurus,5542304846252856,black,Public defender,Big A Auto Parts,159,61.3
1113,1955 Beech Street,San Francisco,CA,California,925-750-3139,Gemini,4485565946869698,black,Rolling machine setter,Reliable Guidance,167,66
1114,842 Oak Avenue,Highland Park,IL,Illinois,847-926-2236,Sagittarius,4916270407533946,black,HIV/AIDS nurse,Ardan's,153,75
1115,2407 Mill Street,Clearwater,FL,Florida,863-909-3030,Pisces,4539805074356647,dark skinned,Oxygen therapist,Morrie Mages,159,72.1
1116,8 Duff Avenue,Charlotte,VT,Vermont,802-425-7042,Taurus,4556144351070244,dark skinned,Training and development specialist,La Petite Boulangerie,159,76.4
1117,592 Shobe Lane,Laramie,CO,Colorado,970-435-7773,Gemini,4929749939197572,white,Audiologist,Record World,163,87.8
1118,867 Fleming Street,Montgomery,AL,Alabama,334-413-4271,Leo,5335419527107343,black,Management dietitian,Huffman and Boyle,182,71.2
1119,3736 Overlook Drive,Gaston,IN,Indiana,765-358-0385,Capricorn,4532505786165727,dark skinned,Artificial inseminator,Stop and Shop,170,86.4
1120,2814 Cinnamon Lane,San Antonio,TX,Texas,210-913-9765,Cancer,4532328872163716,black,Poultry scientist,Richman Brothers,176,61.9
1121,4813 Traction Street,Spartanburg,SC,South Carolina,864-596-2926,Aries,5201747036006205,black,Job service consultant,Body Fate,179,90.3
1122,3608 Midway Road,Rogers,AR,Arkansas,479-616-4690,Sagittarius,4929117572022095,white,Life skill counselor,Life Map Planners,161,55.9
1123,2803 Mesa Drive,Las Vegas,NV,Nevada,702-372-2505,Sagittarius,5.33244E+15,white,Transit and railroad police,Carl Durfees,172,71.4
1124,1666 Anthony Avenue,Abilene,TX,Texas,325-674-3339,Leo,4.71633E+15,black,Employment counselor,Strength Gurus,179,113.6
1125,1781 Pooz Street,Memphis,TN,Tennessee,731-907-0666,Scorpio,5587185146496152,black,Immunology technologist,Rack N Sack,175,49.2
1126,3413 Philli Lane,Tulsa,OK,Oklahoma,918-514-0051,Cancer,4929362843677737,dark skinned,Photographic spotter,id Boutiques,170,69.8
1127,4754 Norma Avenue,Dayton,OH,Ohio,937-228-0663,Taurus,4916853112458861,white,Administrative professional,The Serendipity Dip,160,85.2
1128,1302 Pine Street,Marianna,PA,Pennsylvania,724-267-6634,Leo,4556664787086308,white,Termite control technician,Paul's Food Mart,163,83.5
1129,2881 Lauren Drive,Madison,WI,Wisconsin,608-387-5662,Libra,4532583622405375,black,Short haul or local truck driver,Music Boutique,173,87.4
1130,1345 Virgil Street,Pensacola,FL,Florida,850-232-6234,Cancer,4556418864302314,dark skinned,Simultaneous interpreter,Lionel Kiddie City,179,63.9
1131,519 Station Street,Austin,TX,Texas,512-228-3470,Pisces,4916769886604649,black,Personal and home care aide,Edwards,168,102
1132,3529 Joes Road,Hudson Falls,NY,New York,518-747-1712,Taurus,4485410907718347,black,Diesel mechanic,Security Sporting Goods,162,91.3
1133,4606 May Street,Somerset,KY,Kentucky,606-309-5925,Aries,5271419452437489,black,Econometrician,Super Saver Foods,167,78.4
1134,3752 Sycamore Lake Road,Eden,WI,Wisconsin,920-477-0251,Virgo,5156371057295715,black,Central office installer,Cardinal Stores,183,97.6
1135,468 Forest Avenue,New York,NY,New York,646-840-2309,Aries,5215020776526087,white,Agricultural product sorter,Mr Fables,162,66.5
1136,4674 Bubby Drive,Austin,TX,Texas,512-394-1955,Libra,5566336647189615,dark skinned,"Food and tobacco roasting, baking, and drying machine operator",McDade's,168,73.1
1137,3540 Lakeland Terrace,Southfield,MI,Michigan,734-381-4184,Libra,5593182826866178,black,General practitioner,Flexus,164,71.4
1138,225 Poplar Street,Chicago Heights,IL,Illinois,708-756-5335,Virgo,5555665725852626,black,Retail manager,Ellman's Catalog Showrooms,167,102
1139,1827 Parrill Court,Gary,IN,Indiana,219-688-5017,Virgo,5435463612587158,black,Localization translator,Strongbod,169,70.2
1140,783 University Hill Road,Donnellson,IL,Illinois,217-537-4917,Pisces,5.35956E+15,black,Electronic data processor,Young @ Heart,181,84.8
1141,2577 Crummit Lane,Murray,NE,Nebraska,402-235-8793,Virgo,5365960141192263,white,Telephone station installer,Foot Quarters,183,66.5
1142,1644 Fieldcrest Road,Brentwood,NY,New York,631-952-8009,Capricorn,5594494939546509,dark skinned,Pump operator,Rainbow Life,159,63
1143,2720 West Street,Comstock Park,MI,Michigan,616-784-3146,Leo,4485398832253029,black,Timber cutting and logging worker,Beefsteak Charlie's,167,90.5
1144,88 Wilson Avenue,Richardson,TX,Texas,972-534-1259,Pisces,4716965344636742,dark skinned,Home care aide,Al's Auto Parts,171,51
1145,2245 Grey Fox Farm Road,Houston,TX,Texas,281-733-2627,Taurus,5301886212956681,black,Professional sports scout,Bresler's Ice Cream,162,60.2
1146,4546 George Avenue,Mobile,AL,Alabama,251-229-3737,Scorpio,5518478288063193,dark skinned,Bench technician,Buehler Foods,174,108.4
1147,1391 Woodside Circle,Tallahassee,FL,Florida,850-702-3595,Leo,4716578852573114,white,Facility manager,Parts and Pieces,190,92
1148,3536 Dark Hollow Road,Bloomington,WI,Wisconsin,608-994-2804,Libra,4916825280132197,black,Elevator mechanic,Heslop's,157,85.5
1149,4370 Hillcrest Lane,Moreno Valley,CA,California,951-242-3974,Libra,5574749253196536,black,INS agent,Capitalcorp,158,49.9
1150,2557 Brannon Avenue,Jacksonville,FL,Florida,904-849-5912,Leo,5446604892664038,dark skinned,Caulker,Nickerson Farms,180,87
1151,2776 Capitol Avenue,Indianapolis,IN,Indiana,765-560-9091,Virgo,4929122760955023,black,Purchase-and-sales clerk,Copeland Sports,171,86.3
1152,2690 Frum Street,White House,TN,Tennessee,615-285-9763,Libra,4.53956E+15,white,Compliance officer,L' Fish,171,80.4
1153,4714 Kerry Way,Los Angeles,CA,California,562-735-5620,Sagittarius,4485479635184122,white,Gerontology social worker,Dubrow's Cafeteria,165,78.9
1154,3031 Leisure Lane,San Luis Obispo,CA,California,805-602-9023,Virgo,4.55692E+15,white,Speech therapist,Frank and Seder,167,54.4
1155,3060 Rockford Road,Charlestown,MA,Massachusetts,774-759-4400,Sagittarius,4539960797585376,white,Manufacturers,J. Riggings,154,78.7
1156,1732 Philli Lane,Tulsa,OK,Oklahoma,918-495-8676,Cancer,4916533283508385,dark skinned,Farm product inspector,Hill-Behan,170,72.3
1157,855 Pearl Street,Sacramento,CA,California,916-286-0644,Taurus,4532246622659579,white,Respiratory therapy technician,Circuit Design,154,99
1158,1093 Locust Court,Long Beach,CA,California,562-421-7465,Virgo,5244985443884827,black,Forest fire prevention specialist,Buck Alley Lumber,186,98.6
1159,3780 Rose Avenue,New Orleans,LA,Louisiana,504-218-0820,Pisces,4716210221056577,black,Private accountant,Total Quality,157,49.4
1160,3714 Nash Street,Chicago,IL,Illinois,312-997-2227,Pisces,5108802421694695,white,Electrologist,Reliable Guidance,173,93.9
1161,1373 Elliot Avenue,Redmond,WA,Washington,206-551-2249,Aries,4532003820068776,black,Claims appraiser,HouseWorks!,168,61.1
